sample,error_N,float_N,q88_N,z_q88,x,x_dot,theta,theta_dot
8243,7.758919785736,6.430794785736,-1.328125000000,-35,-0.822201926522,-2.491220208961,0.005176165709,0.777817617120
4862,5.032580943024,4.029919056976,9.062500000000,404,-1.477931303034,-2.339122641311,-0.048574505550,1.232589756928
3780,4.674791234486,-2.903333765514,-7.578125000000,-282,0.331423559490,-4.643255836395,0.005663045811,1.095203113099
2899,4.423415160599,9.384352660599,4.960937500000,148,0.071903091112,-3.692652605422,-0.119328067750,1.562279904088
6252,4.389914361146,-0.961648138854,-5.351562500000,-161,-0.778285780143,-4.563966164138,0.169569062969,0.155639447215
4794,4.258130661894,6.875318161894,2.617187500000,71,0.106767607521,-4.466692101614,0.089987727992,0.432933603711
5894,4.024679850567,-1.717507649433,-5.742187500000,-174,-1.181939460744,-0.981805929157,0.060015077993,0.180458844114
5429,3.566461934336,-2.472711934336,1.093750000000,29,-1.026619642446,-0.067851564044,-0.021051190952,0.205701068699
684,3.513278891636,-7.536716391636,-4.023437500000,-117,2.358373927508,0.444823328003,0.193807385086,-4.243949593832
6680,3.331974966080,-3.074275033920,-6.406250000000,-199,2.004583055792,4.465955914982,-0.139125666912,-2.381827817328
2439,3.270122807748,-3.973247807748,-0.703125000000,-19,-1.234968063367,4.916730528317,-0.126727316314,0.755202169661
2002,3.230730870640,7.449480870640,4.218750000000,124,0.928847217822,-4.602887924278,0.142144086151,-0.518291529787
5711,3.185589196137,2.716839196137,-0.468750000000,-13,1.860384233230,-2.405243504282,0.146333573033,-3.052062163624
4757,3.168851142010,7.739163642010,4.570312500000,135,-1.777988495952,-4.979193608237,0.180725518430,0.548943761752
8554,3.086294662514,-3.632455337486,-6.718750000000,-220,-1.243715186824,-4.260744234419,0.126521421499,0.591619315534
9937,2.936807905966,5.593057905966,2.656250000000,72,-0.649113447274,-1.532604591972,0.039846413173,0.305994184408
910,2.867839651830,0.061847848170,2.929687500000,81,-1.256896062405,4.084345518794,-0.013372680087,-0.337005870602
6333,2.850379502716,-2.850379502716,0.000000000000,-1,-1.329599131015,4.392124932900,-0.005694107365,-0.536742475578
7992,2.776102748834,-8.127665248834,-5.351562500000,-161,1.874599608627,-0.454214258125,0.150492714113,-3.985426194923
6882,2.729547790460,2.846735290460,0.117187500000,4,-0.317887672030,-1.577172873337,-0.120331111328,1.039877538323
